Date,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg GAP,Normalized Power® (NP®),Avg Power,Max Power,Steps,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation,distance,time_seconds,pace_seconds_per_unit,predicted_seconds,residual_seconds,actual_hms,predicted_hms
2/11/26 17:37,6.0,594,1:05:29,144,172,3.3,158,166,10:54,8:54,95,112,0.93,11:08,236,234,288,"10,398",00:02.7,7.0,1:04:32,1:10:28,290,359,6.0,3929.0,654.8333333333334,4132.080972763519,-203.08097276351873,01:05:29,01:08:52
2/4/26 17:17,7.51,687,1:10:05,155,192,4.1,161,173,9:20,7:21,184,174,1.07,9:29,292,280,407,"11,320",06:21.2,8.0,1:09:07,1:17:54,291,360,7.51,4205.0,559.9201065246339,5123.362051197711,-918.3620511977106,01:10:05,01:25:23
2/2/26 16:43,7.0,703,1:18:57,146,178,3.2,158,167,11:16,9:55,128,148,0.91,11:31,234,231,306,"12,546",00:01.8,8.0,1:17:34,1:31:24,293,371,7.0,4737.0,676.7142857142857,4789.59064308415,-52.59064308414963,01:18:57,01:19:50
2/1/26 15:46,13.4,"1,379",2:40:03,157,181,4.0,159,167,11:57,10:14,292,276,0.85,12:02,219,218,291,"25,430",04:50.9,14.0,2:39:18,2:48:26,283,371,13.4,9603.0,716.6417910447761,8921.50059200354,681.4994079964599,02:40:03,02:28:42
1/31/26 16:59,6.0,590,1:10:15,138,149,3.0,160,167,11:42,8:43,118,118,0.86,11:52,226,223,317,"11,226",00:02.2,7.0,1:09:27,1:13:13,284,350,6.0,4215.0,702.5,4132.080972763519,82.91902723648127,01:10:15,01:08:52
1/30/26 7:52,7.01,704,1:19:27,147,170,3.3,159,171,11:20,9:33,128,135,0.89,11:28,233,231,325,"12,664",00:03.1,8.0,1:18:36,1:22:02,273,348,7.01,4767.0,680.0285306704708,4796.144785943093,-29.144785943092756,01:19:27,01:19:56
1/28/26 19:33,7.01,697,1:07:32,162,202,4.6,158,171,9:38,8:02,108,138,1.06,9:49,274,266,349,"10,680",00:05.3,8.0,1:06:03,1:11:48,295,364,7.01,4052.0,578.0313837375179,4796.144785943093,-744.1447859430928,01:07:32,01:19:56
1/26/26 18:13,5.01,498,0:58:13,138,151,2.9,157,172,11:37,9:57,92,95,0.88,11:41,228,223,283,"9,170",00:10.1,6.0,0:57:47,0:58:40,294,348,5.01,3493.0,697.2055888223554,3476.568922670012,16.431077329988057,00:58:13,00:57:57
1/23/26 8:15,6.0,619,1:08:00,153,176,3.3,157,167,11:19,9:53,82,105,0.91,11:31,229,227,312,"10,714",00:02.7,7.0,1:07:04,1:12:29,301,360,6.0,4080.0,680.0,4132.080972763519,-52.08097276351873,01:08:00,01:08:52
1/21/26 18:02,1.0,107,0:11:11,155,168,2.1,154,161,11:08,10:29,16,7,0.94,11:20,233,230,265,"1,744",00:02.4,2.0,0:11:00,0:11:59,312,333,1.0,671.0,671.0,742.6142642595654,-71.6142642595654,00:11:11,00:12:23
1/21/26 17:46,1.4,139,0:12:24,172,182,2.9,156,167,8:50,7:34,3,33,1.17,9:08,288,284,359,"1,948",03:32.1,2.0,0:12:09,0:13:27,313,351,1.4,744.0,531.4285714285714,1025.0429112496695,-281.0429112496695,00:12:24,00:17:05
1/21/26 16:57,4.64,448,0:44:06,155,182,3.9,156,167,9:30,8:23,75,89,1.08,9:38,277,271,357,"6,932",05:37.8,5.0,0:43:42,0:47:30,291,356,4.64,2646.0,570.2586206896552,3230.2284715370843,-584.2284715370843,00:44:06,00:53:50
1/19/26 18:08,6.88,738,1:20:02,167,184,3.6,158,165,11:38,10:32,118,157,0.88,11:39,225,223,278,"12,602",0:10:01,7.0,1:19:53,1:22:28,314,393,6.88,4802.0,697.9651162790698,4710.910025742353,91.08997425764665,01:20:02,01:18:31
1/18/26 9:05,11.01,"1,115",2:08:07,137,174,3.8,159,167,11:38,10:05,207,213,0.87,11:45,224,222,281,"20,440",00:05.7,12.0,2:07:10,2:26:48,288,364,11.01,7687.0,698.1834695731154,7391.1277774536575,295.8722225463425,02:08:07,02:03:11
1/17/26 8:31,6.01,639,1:12:21,163,184,3.3,159,167,12:03,10:16,115,125,0.84,12:06,222,220,347,"11,504",00:04.3,7.0,1:12:09,1:12:53,288,362,6.01,4341.0,722.2961730449251,4138.677736746199,202.32226325380088,01:12:21,01:08:59
1/16/26 7:23,7.0,732,1:23:04,156,181,3.4,158,165,11:52,9:57,151,164,0.86,11:58,220,218,289,"13,196",00:00.9,8.0,1:22:26,1:28:10,288,360,7.0,4984.0,712.0,4789.59064308415,194.40935691585037,01:23:04,01:19:50
1/14/26 7:21,6.0,615,1:01:52,161,182,4.1,158,169,10:18,8:54,102,112,0.99,10:30,255,250,339,"9,792",00:02.4,7.0,1:01:03,1:06:20,285,346,6.0,3712.0,618.6666666666666,4132.080972763519,-420.08097276351873,01:01:52,01:08:52
1/12/26 18:24,5.23,531,1:02:13,147,173,3.1,155,164,11:54,10:12,102,102,0.87,12:02,219,218,261,"9,658",02:45.3,6.0,1:01:52,1:03:37,297,360,5.23,3733.0,713.7667304015296,3622.6752205515513,110.32477944844868,01:02:13,01:00:23
1/9/26 8:50,5.0,513,0:56:49,149,175,3.3,155,163,11:21,9:25,305,315,0.91,11:25,236,232,335,"8,812",00:02.1,6.0,0:56:12,1:00:19,860,934,5.0,3409.0,681.8,3469.921397907312,-60.921397907311984,00:56:49,00:57:50
1/8/26 8:36,5.0,509,0:58:15,146,170,3.2,156,167,11:39,9:33,318,338,0.89,11:40,232,228,321,"9,064",00:02.2,6.0,0:57:52,1:00:01,867,956,5.0,3495.0,699.0,3469.921397907312,25.078602092688016,00:58:15,00:57:50
1/7/26 8:30,6.0,592,1:08:05,141,176,3.3,156,168,11:20,9:18,341,361,0.91,11:26,236,232,343,"10,676",00:02.8,7.0,1:07:30,1:10:53,862,951,6.0,4085.0,680.8333333333334,4132.080972763519,-47.08097276351873,01:08:05,01:08:52
1/6/26 9:03,5.0,505,0:59:22,146,166,3.1,157,167,11:52,10:09,285,325,0.86,11:54,226,223,323,"9,328",00:02.1,6.0,0:59:10,1:01:07,869,953,5.0,3562.0,712.4,3469.921397907312,92.07860209268802,00:59:22,00:57:50
1/5/26 8:47,5.0,530,0:59:00,155,178,3.5,156,167,11:47,9:51,289,331,0.87,11:51,228,224,328,"9,220",00:02.2,6.0,0:58:48,0:59:35,877,955,5.0,3540.0,708.0,3469.921397907312,70.07860209268802,00:59:00,00:57:50
1/3/26 8:26,7.0,756,1:21:02,156,179,4.5,155,165,11:34,9:59,443,463,0.9,11:38,233,229,333,"12,500",00:02.5,8.0,1:20:26,1:22:59,864,955,7.0,4862.0,694.5714285714286,4789.59064308415,72.40935691585037,01:21:02,01:19:50
